,datetime,tweetid,text,username,userid,value
837,Fri Apr 07 15:11:25 +0000 2017,8.50365401536094E+017,"RT @IntiChavezPerez: Obs, polisen har uttryckligen gått ut med att de INTE har bekräftat skottlossning. Sprid inte andra uppgifter.",Casper Törnblom,23832075,neg
838,Fri Apr 07 15:10:51 +0000 2017,8.50365257625285E+017,"RT @IntiChavezPerez: Obs, polisen har uttryckligen gått ut med att de INTE har bekräftat skottlossning. Sprid inte andra uppgifter.",jess,2694575218,neg
839,Fri Apr 07 15:10:39 +0000 2017,8.50365210087084E+017,RT @xwerhelat: Uppgifter om skottlossning på fridhemsplan har dementerats av polisen,nelly,280405753,neg
840,Fri Apr 07 15:06:39 +0000 2017,8.50364201461797E+017,"RT @niklassvensson: Uppgifterna om skottlossning vid Fridhemsplan dementeras av polisen, uppger SVT.",Stridsvärdet,1642430323,neg
841,Fri Apr 07 15:05:59 +0000 2017,8.50364036340478E+017,RT @Ivarpi: Enligt uppgift till Expressen är skottlossning bekräftad vid Åhléns City och Hötorget.,peter 🇸🇪,3882837147,pos
842,Fri Apr 07 14:57:25 +0000 2017,8.50361878895374E+017,"RT @Expressen: Polisen bekräftar skottlossning vid Hötorget och vid Åhlens, enligt uppgifter till Expressen.
https://t.co/YSDkE6sHHD https:…",Sara Rydkvist,2277843127,pos
843,Fri Apr 07 14:52:12 +0000 2017,8.50360564211741E+017,"RT @IntiChavezPerez: Obs, polisen har uttryckligen gått ut med att de INTE har bekräftat skottlossning. Sprid inte andra uppgifter.",Elisabeth ♀,217415417,neg
844,Fri Apr 07 15:05:44 +0000 2017,8.50363970947084E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Mikael Andersson,114881362,neg
845,Fri Apr 07 15:05:34 +0000 2017,8.50363928769171E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Aixtyrlund,50099069,neg
846,Fri Apr 07 15:05:21 +0000 2017,8.50363876847874E+017,"RT @Mediebruset: Polisen bekräftar inte alls någon skottlossning, tvärtemot vad Expressen påstår. https://t.co/4qPLmZaN8q",Daniel,307105313,neg
